Trưởng nhóm phát triển	Phát triển phần mềm Thiết kế và phát triển ứng dụng Java, đảm bảo đáp ứng các yêu cầu của dự án và nâng cao hiệu quả hoạt động	2024-10-17
Quản lý dự án cao cấp	Quản lý dự án	Theo dõi tiến độ dự án và phân phối công việc hợp lý cho các thành viên, đảm bảo hoàn thành đúng tiến độ	2024-10-16
Chuyên gia an ninh mạng	Kỹ sư mạng	Cấu hình và quản trị hệ thống mạng, đảm bảo tính bảo mật và hiệu quả hoạt động liên tục của hệ thống	2024-10-15
Giám đốc sáng tạo	Thiết kế đồ họa	Thiết kế giao diện người dùng và các tài liệu quảng cáo, đảm bảo tính thẩm mỹ và tính thương hiệu	2024-10-14
Trưởng phòng kinh doanh	Nhân viên kinh doanh	Tìm kiếm và phát triển khách hàng mới, đảm bảo đạt chỉ tiêu doanh thu hàng tháng của công ty	2024-10-13
Trưởng nhóm hỗ trợ kỹ thuật	Chuyên viên hỗ trợ kỹ thuật	Giải quyết các vấn đề kỹ thuật cho khách hàng, hỗ trợ kịp thời và hiệu quả	2024-10-12
Trưởng bộ phận phân tích	Phân tích dữ liệu	Phân tích dữ liệu và cung cấp các báo cáo cần thiết để hỗ trợ các quyết định chiến lược của công ty	2024-10-11
Kế toán trưởng	Kế toán	Quản lý và xử lý các giao dịch tài chính, đảm bảo tính chính xác và kịp thời	2024-10-10
Chuyên viên tư vấn cấp cao	Nhân viên tư vấn	Tư vấn sản phẩm và dịch vụ cho khách hàng, đảm bảo họ hiểu rõ về lợi ích và tính năng của sản phẩm	2024-10-09
Quản lý vận hành bảo trì	Nhân viên bảo trì	Bảo trì và sửa chữa thiết bị, đảm bảo các máy móc và thiết bị luôn hoạt động ổn định	2024-10-08
Trưởng phòng nhân sự	Chuyên viên nhân sự	Tuyển dụng và quản lý tài nguyên nhân lực, đảm bảo cung cấp đủ nguồn lực cho các phòng ban	2024-10-07
Trưởng nhóm phát triển di động	Nhà phát triển ứng dụng di động	Phát triển và bảo trì ứng dụng di động, đảm bảo tính ổn định và thân thiện với người dùng	2024-10-06
Trưởng phòng marketing	Chuyên viên marketing	Lên kế hoạch và thực hiện các chiến lược marketing nhằm tăng doanh số và xây dựng thương hiệu	2024-10-05
Trưởng nhóm SEO	Chuyên viên SEO	Tối ưu hóa công cụ tìm kiếm và quản lý nội dung, nhằm cải thiện vị trí website trên các công cụ tìm kiếm	2024-10-04
Quản lý vận hành cấp cao	Quản lý vận hành	Điều phối hoạt động vận hành hàng ngày, đảm bảo quy trình được thực hiện hiệu quả và liên tục	2024-10-03
Trưởng bộ phận pháp lý	Chuyên viên pháp lý	Cung cấp tư vấn pháp lý cho doanh nghiệp, đảm bảo tuân thủ pháp luật và giảm thiểu rủi ro pháp lý	2024-10-02
Trưởng phòng nghiên cứu	Nhà nghiên cứu thị trường	Phân tích thị trường và xu hướng tiêu dùng, cung cấp thông tin chiến lược cho công ty	2024-10-01
Giám đốc tài chính	Chuyên viên tài chính	Lên kế hoạch và giám sát tài chính của công ty, đảm bảo nguồn vốn sử dụng hiệu quả	2024-09-30
Quản lý chăm sóc khách hàng	Nhân viên chăm sóc khách hàng	Giải quyết các vấn đề và yêu cầu của khách hàng, đảm bảo sự hài lòng và hỗ trợ tận tâm	2024-09-29
Quản lý kho	Nhân viên kho	Quản lý và sắp xếp kho hàng, đảm bảo hàng hóa được bảo quản tốt và xử lý xuất nhập kho chính xác	2024-09-28
